체크인시간,의사소통,청결도,위치,가격,호스트별점(슈퍼호스트),후기,호스트응답률
3,4,5,4,3,4,5,4
4,2,4,5,4,3,5,5
5,2,4,4,5,3,4,4
4,3,5,5,4,4,5,5
3,3,5,5,3,3,5,2
5,5,5,3,3,4,5,5
3,5,5,5,4,4,5,4
3,4,5,5,4,3,5,4
3,3,4,5,5,4,4,4
4,3,5,5,5,4,3,3
4,3,5,5,5,4,5,4
4,3,3,4,5,4,5,4
3,3,5,5,5,3,4,4
3,4,5,5,5,4,5,3
5,3,4,5,4,4,5,5
3,3,5,5,4,4,5,4
3,3,4,3,5,4,4,5
3,3,4,5,5,4,5,4
3,3,4,5,3,3,5,4
2,2,5,5,5,5,4,4
4,2,4,4,5,5,5,4
3,2,3,3,2,5,5,5
4,4,4,4,4,4,4,4
4,4,5,5,4,3,4,4
5,5,5,5,5,4,5,5
3,4,5,5,5,4,5,3
4,4,5,4,5,3,5,5
3,4,3,3,4,4,5,5
2,4,5,4,5,5,4,5
4,4,5,4,5,4,5,3
4,3,5,4,4,2,5,5
3,2,4,4,5,4,5,4
2,2,5,5,5,2,5,5
2,2,4,4,4,4,5,4
3,3,3,3,3,3,3,3
4,4,4,3,3,4,4,5
5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4
4,4,5,3,5,3,2,5
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
5,5,5,4,3,4,4,4
5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4
3,4,3,4,3,3,3,3
2,1,2,2,2,2,2,2
3,3,4,4,3,4,3,4
4,4,4,4,5,4,3,4
5,3,5,3,5,3,4,3
3,3,3,3,3,2,3,2
2,2,2,2,2,3,3,3
3,3,3,3,3,3,3,3
